phrase,prompt,Care
I have an internal pain I cannot describe,Internal pain,PCP
My body feels weak and I tried to make it relax but it stills pain me,Body feels weak,PCP
My back got injured while i was lifting at the gym,Injury from sports,Emergencey
i feel pain in my stomach,Stomach ache,PCP
i cant sleep because of cough,Cough,PCP
My face break out badly every month around my cycle.,Acne,Pharmacy
i feel weak,Body feels weak,PCP
"It is hard to breath when I am in the underground metro station, why?",Hard to breath,Emergencey
My hair is falling when I am combing it.,Hair falling out,Pharmacy
I get clusters of pimples on my face that never go away.,Acne,Pharmacy
My foot hurts me a lot of playing football,Foot ache,PCP
I have a pain in my joint,Joint pain,PCP
I feel a tightness in my chest,Hard to breath,Emergencey
my hair falling out,Hair falling out,Pharmacy
I fell a stiffness in my elbows and shoulders,Joint pain,PCP
I have acne all over my face,Acne,Pharmacy
It feels like I can't take a deep breath,Hard to breath,Emergencey
I have a hair shortage,Hair falling out,Pharmacy
I have a dry skin,Skin issue,Pharmacy
"i can't move my leg, there is pain in the joint",Joint pain,PCP
I can't get a girlfriend because of my acne.,Acne,Pharmacy
I'm not good i feel dizzy,Feeling dizzy,PCP
i have difficulty moving my neck,Neck pain,PCP
i was travelling by ship and i feel dizzy.,Feeling dizzy,PCP
My calves feel like they are tight as knots and are throbbing,Muscle pain,PCP
stiffness inability to look right or left except by moving the whole body,Neck pain,PCP
"Sometimes when it is cold outside, my face hurts, especially around the pimples that are ready to pop.",Acne,Pharmacy
I feel weak all over.,Body feels weak,PCP
I feel like my heart is on fire.,Heart hurts,Emergencey
I have a great stomach ache and i can't eat any thing,Stomach ache,PCP
itch at front and center of scalp,Hair falling out,Pharmacy
I got acne when I ate chili,Acne,Pharmacy
I have shoulder pain when I try to carry my groceries.,Shoulder pain,PCP
When I lift my arms up I have a soreness in my shoulders,Shoulder pain,PCP
I feel very hard to breathe,Hard to breath,Emergencey
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy,PCP
I love to walk and be outside but the bottoms of my feet get sore so quickly.,Foot ache,PCP
The area around my heart doesn't feel good.,Heart hurts,Emergencey
I have a pain in my head,Head ache,PCP
My chest acne breaks out and never clears up.,Acne,Pharmacy
The crushing sensation on my heart leaves me breathless.,Heart hurts,Emergencey
I feel joint pain every time I move,Joint pain,PCP
When get up I found that I have a stomach ache  and I tried to take medecine but my stomach still hurting me,Stomach ache,PCP
I have an ear ache when showering,Ear ache,PCP
The pain in my back dwwls like a sharp knife in it,Back pain,PCP
My heart is beating fast and it scares me.,Heart hurts,Emergencey
My daughter had her ears pierced and one of her ear lobes is bright red and burning hot.,Infected wound,PCP
I've been feeling very sad lately,Emotional pain,PCP
I had a cut that was stitched together but it is not healing.  It is oozing green puss and burns.,Infected wound,PCP
It hurts when I raise my arm up,Shoulder pain,PCP
All my body is in a bad case and i need a good treatment,Joint pain,PCP
There is pain in my joints. I can not bear pain,Joint pain,PCP
I can't stand with this horrible feeling in my shoulder,Shoulder pain,PCP
Can't keep focus,Head ache,PCP
i have a great pain in my foot like thrombing pain with relaxing my pain releif,Foot ache,PCP
I feel a great amount of pressure of my head.,Head ache,PCP
i have issue with my skin,Skin issue,Pharmacy
Surgical wound infections,Infected wound,PCP
My body feels weak and i think that my face is fade and i can't sleep well,Body feels weak,PCP
The severe pain in the stomach I feel,Stomach ache,PCP
"I can't stand up, I feel my brain is moving inside my skull.",Head ache,PCP
I think I overdid it when I carried all that lumber from the yard. My lower back is killing me.,Back pain,PCP
I have internal pain whenever I come down with a cold.,Internal pain,PCP
I feel pain in my neck after waking up,Neck pain,PCP
"You won't believe me, but this infected wound on my hand is from a paper cut I didn't take seriously.",Infected wound,PCP
I have blurry vision after I used a wrong medicine.,Blurry vision,PCP
I have eruptions on my face that come and go .,Acne,Pharmacy
I feel muscle pain every time I make an extra effort.,Muscle pain,PCP
I am having running nose,Feeling cold,Pharmacy
I usually have a bad cough when I get flu.,Cough,PCP
My chest acne breaks out and never clears up.,Acne,Pharmacy
I have a hard muscle pain since i went to the gym,Muscle pain,PCP
I feel very hard to breathe,Hard to breath,Emergencey
My shoulder has agreat pain,Shoulder pain,PCP
I feel a great pain in my shoulder when i try to lift something heavy,Shoulder pain,PCP
I got acne when I ate chili,Acne,Pharmacy
I have a pain in my stomach,Internal pain,PCP
I feel a soreness in my knees when I walk,Joint pain,PCP
I have shoulder pain when I try to carry my groceries.,Shoulder pain,PCP
I feel a burning sensation in my guts about 2 hours after each meal.,Stomach ache,PCP
I have a hard muscle pain since i went to the gym,Muscle pain,PCP
I have a ear ache when I go to the pool,Ear ache,PCP
i have injured myself during the soccer match,Injury from sports,Emergencey
When I force my eyes to view I have blurry vision.,Blurry vision,PCP
I am having running nose,Feeling cold,Pharmacy
I felt my heart hurts when I ran for along distance,Heart hurts,Emergencey
fell skull is cracked like nuts,Head ache,PCP
I don't do anything at home and still I feel exhausted.,Body feels weak,PCP
"i was diagnosed with pneumonia, i can't breath easily.",Hard to breath,Emergencey
My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.,Infected wound,PCP
My hair is falling out after I take a shower.,Hair falling out,Pharmacy
My entire body is freezing.,Feeling cold,Pharmacy
I usually have a bad cough when I get flu.,Cough,PCP
I do not know why I feel cold,Feeling cold,Pharmacy
The area around my heart doesn't feel good.,Heart hurts,Emergencey
I don't have full range of motion with my arms,Shoulder pain,PCP
The crushing sensation on my heart leaves me breathless.,Heart hurts,Emergencey
I have a throbbing in my joints,Joint pain,PCP
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy,PCP
"When I move on my shoulder, pain shoots down my arm",Shoulder pain,PCP
My nose is congested all the time and there's this gluey secretion in my throat that makes it impossible for me to sleep. I often have to nap sitting down.,Hard to breath,Emergencey
My neck is annoying me I can't sleep bacause of it,Neck pain,PCP
I have a back pain since I fell on the floor.,Back pain,PCP
I have a problem in the expiration because i have abronchial asthma,Hard to breath,Emergencey
Why is my shoulder aching when I try to pick up the laundry?,Shoulder pain,PCP
there is acne on my face,Acne,Pharmacy
"Laceration, rupture or opening in the skin",Open wound,Emergencey
my hand open wound got infected,Infected wound,PCP
I feel great pain in my feet after playing one of the sports games,Injury from sports,Emergencey
I feel like the room is spinning,Feeling dizzy,PCP
I hate my acne.,Acne,Pharmacy
"can't do any exercise, i feel weak",Body feels weak,PCP
My infected wound caused a fever,Infected wound,PCP
There is an injured person,Infected wound,PCP
Every time I take a deep breath I start coughing,Cough,PCP
I have a sharp pain in my ear,Ear ache,PCP
I feel pain in my joint after an injury in the last football match I played.,Joint pain,PCP
I have an indigestion,Stomach ache,PCP
I have a sharp pain in my lower stomach.,Stomach ache,PCP
I feel dizzy when i make sudden movements,Feeling dizzy,PCP
Need to scratch my skin every minute,Skin issue,Pharmacy
i can't breath because of  Cough,Cough,PCP
standing less than five minutes and my back start to ache,Back pain,PCP
The wound is still open,Open wound,Emergencey
"I never had any acne problem until my last pregnancy, when all of a sudden my back got covered in zits.",Acne,Pharmacy
I'm in need for a treatment for my hair fall,Hair falling out,Pharmacy
"i was injured during football match, i was diagnosed with Cruciate ligament",Injury from sports,Emergencey
It hurts when I bent my arm,Joint pain,PCP
A terrible fall in hair,Hair falling out,Pharmacy
"my cbc report indicate 10 hb, i feel tired of little work.",Body feels weak,PCP
Why is my shoulder aching when I try to pick up the laundry?,Shoulder pain,PCP
I have a neck pain when I sit in-front of my laptop.,Neck pain,PCP
When I carry heavy things i feel like breaking my back,Back pain,PCP
I had alot of exercise yesterday so i feel sharp muscle pains,Muscle pain,PCP
my abdominal muscles have great pain since i was at GYM,Muscle pain,PCP
I can't really jump on my left foot because my triple fracture of the ankle left me with neverending pains.,Foot ache,PCP
There feels like a swollen knot at my shoulderblade with pain shooting from that,Shoulder pain,PCP
I have a pain internal,Internal pain,PCP
i have disterbance in my emotion,Emotional pain,PCP
I have cloudy eyes,Blurry vision,PCP
The warming system of my house is broken and  feel so cold,Feeling cold,Pharmacy
I have a headache every time I eat ice cream,Head ache,PCP
I get a knee pain when I walk a lot,Knee pain,PCP
"I used to be out of breath after going up a dozen of stairs, but now I struggle to breath even when I sit down.",Hard to breath,Emergencey
itch at front and center of scalp,Hair falling out,Pharmacy
when i was washing my hair it was falling out heavily,Hair falling out,Pharmacy
severe pain in the upper left side of chest and may have pain to back,Heart hurts,Emergencey
I have a pain in my head,Head ache,PCP
My hair is falling out after I take a shower.,Hair falling out,Pharmacy
I need a kind of cream wich make my muscles more relaxed,Muscle pain,PCP
I feel a pain in my back when I sit on a chair for long.,Back pain,PCP
When my grand father died I felt a hard emotional pain,Emotional pain,PCP
Yesterday I had a shouder pain,Shoulder pain,PCP
when i extend my leg there is pain in knee joint,Joint pain,PCP
The crushing sensation on my heart leaves me breathless.,Heart hurts,Emergencey
When I lift my arms up I have a soreness in my shoulders,Shoulder pain,PCP
"Had I stepped on a needle it wouldn't have hurt so much, like this damned spur in my heel.",Foot ache,PCP
"i was diagnosed with pneumonia, i can't breath easily.",Hard to breath,Emergencey
"I am always cold, even when I am wearing layers",Feeling cold,Pharmacy
I feel pain in my head with a vertigo,Head ache,PCP
"redness, swelling, and difficulty walking",Knee pain,PCP
My calves feel like they are tight as knots and are throbbing,Muscle pain,PCP
i feel head ache,Head ache,PCP
glass broken and wound my leg badly the wound is so wide,Open wound,Emergencey
I've had this cough for two weeks.,Cough,PCP
My back got injured while i was lifting at the gym,Injury from sports,Emergencey
I can't move my head up and down.,Neck pain,PCP
My acne gets worse when it is hot,Acne,Pharmacy
"The last time I clipped my toenails, I cut them too short and now I have an infected nail.",Infected wound,PCP
I feel cold and chills even though my clothes are heavy,Feeling cold,Pharmacy
I have a blurry vision after my head was hit yesterday.,Blurry vision,PCP
"You won't believe me, but this infected wound on my hand is from a paper cut I didn't take seriously.",Infected wound,PCP
I can't do anything I feel a weak in my body,Body feels weak,PCP
Every time I look to left I feel a sharp pain in my neck.,Neck pain,PCP
When I tried to take care if my hair I found that it is falling out,Hair falling out,Pharmacy
The joints in my fingers are painful in the morning.,Joint pain,PCP
"after playing football, i have muscle pain with my both legs.",Muscle pain,PCP
My back hurts me and i can't bend it or walk,Back pain,PCP
I used alot of pain killer to get better but i still feel the same back pain,Back pain,PCP
"When I stand up, I feel like I'm going to fall down instantly",Feeling dizzy,PCP
I had a pain in my knee when I was swimming,Knee pain,PCP
There is a constant tickle in my throat,Cough,PCP
I feel a sharp pain in my head when I think too hard.,Head ache,PCP
I carried a heavy bag yesterday and when I get up today I felt a great shoulder pain.,Shoulder pain,PCP
I used alot of pain killer to get better but i still feel the same back pain,Back pain,PCP
"I feel pain in my legs muscles after I ran yesterday, I took some pain killers but it doesn't help.",Muscle pain,PCP
I wake up at night feeling cold,Feeling cold,Pharmacy
I feel pain in the knee,Knee pain,PCP
Hearing any loud sounds makes my ear aches,Ear ache,PCP
my ear hurts me badly,Ear ache,PCP
He was discovered to have an open wound.,Open wound,Emergencey
my ankle is hurting me,Joint pain,PCP
I can't stop coughing,Cough,PCP
I have a blurry vision after my head was hit yesterday.,Blurry vision,PCP
When I play football I have muscle pain.,Muscle pain,PCP
I feel heart pain when I walk a lot,Heart hurts,Emergencey
I noticed an important decrease in my vision when I try to look at things up close.,Blurry vision,PCP
I have a rash on my skin,Skin issue,Pharmacy
"I may have overdone it with the weightlifting, because I am afraid I may have torn a muscle on my back.",Injury from sports,Emergencey
heart aches so much,Heart hurts,Emergencey
These red spots on my cheeks are new. What is it?,Skin issue,Pharmacy
i can't move my shoulder because of pain,Shoulder pain,PCP
I feel hurts in my heart,Heart hurts,Emergencey
my shoulder is hurting me,Shoulder pain,PCP
I've noticed my hair falling out a lot lately.,Hair falling out,Pharmacy
My joints feel swollen,Joint pain,PCP
I feel a great pain in my shoulder joint and it does not go away,Joint pain,PCP
My shoulder aches when I try to lift five pounds.,Shoulder pain,PCP
The feeling of coughing increases in winter's reach,Cough,PCP
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy,PCP
My head is so heavy can't think normally,Head ache,PCP
"i walked a long for 3 km, i feel pain in my foot like foot ache",Foot ache,PCP
I can't turn my neck to the left without feeling a stabbing pain,Neck pain,PCP
I have a head pain every single day.,Internal pain,PCP
I hit my head at the basketball game.  Could I have a concussion?,Injury from sports,Emergencey
I have some pain when i'm walking around my knees,Joint pain,PCP
is my cut infected or just healing?,Infected wound,PCP
I've got a hard time to breath- am I having a heart attack?,Hard to breath,Emergencey
Mr hair is falling out just by combing it.,Hair falling out,Pharmacy
"My face has broken out in painful red spots and lumps, that no matter how much I clean my face don't seem to be going away.",Acne,Pharmacy
I get chills and aches all over.,Feeling cold,Pharmacy
After walking I have some pain under my foot,Foot ache,PCP
My stomach feels full and upset  and bloating after big meals.,Stomach ache,PCP
I have the impression of having no strength in my body,Body feels weak,PCP
My heart is pumping fast and I'm having a hard time to breath.,Hard to breath,Emergencey
"I can't hear out of my ear properly, I feel like there is something in it causing irritation.",Ear ache,PCP
I have a scab on the back of my hand that just won't go away.,Skin issue,Pharmacy
I have a dull ache in my stomach.  It gets worse after I eat.,Internal pain,PCP
My skin is very dry and peeling.,Skin issue,Pharmacy
I was very active in sports but now my body is feeling pain.,Injury from sports,Emergencey
I feel congestion in my chest,Cough,PCP
I do not know why I feel cold,Feeling cold,Pharmacy
I sliced myself deeply with a knife while I was cooking,Open wound,Emergencey
It feels like I can't take a deep breath,Hard to breath,Emergencey
The pain in my ear is unbearable.,Ear ache,PCP
I get clusters of pimples on my face that never go away.,Acne,Pharmacy
i was travelling by ship and i feel dizzy.,Feeling dizzy,PCP
i have difficulty moving my neck,Neck pain,PCP
i cant breathe,Cough,PCP
My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.,Infected wound,PCP
My grandmother last year went to hospital because she was having a hard time breathing,Hard to breath,Emergencey
i have difficulty moving my neck,Neck pain,PCP
I complain alot with my neck pain and i really need to be better,Neck pain,PCP
I'm suffering from sharp cough Accompanied by  phlegm,Cough,PCP
"i can't move my leg, there is pain in the joint",Joint pain,PCP
I have a split on my thumb that will not heal.,Open wound,Emergencey
Chronic bowel Pain,Internal pain,PCP
My knees ache on cold and rainy days.,Knee pain,PCP
I think my body temperature is very low.,Feeling cold,Pharmacy
i feel pain in my foot,Foot ache,PCP
I get terrible headaches every few months and when I get them my vision is affected.,Head ache,PCP
I feel pain in my right shoulder after the tennis match.,Injury from sports,Emergencey
I feel suicidal.,Emotional pain,PCP
I complain alot with skin allergy,Skin issue,Pharmacy
When I brush my hair I notice big clumps of hair coming out in the brush.,Hair falling out,Pharmacy
I can't see the sign I have a blurry vision,Blurry vision,PCP
I have tried to relief it but I can't,Body feels weak,PCP
I cut my hand a couple of days ago and although I didn't think I needed it stitches it hasn't closed up.,Open wound,Emergencey
I have a dry skin,Skin issue,Pharmacy
I feel a pain in my neck,Neck pain,PCP
I hve cut my finger because of playing football and I  to apply pain relief cream but it does not help,Injury from sports,Emergencey
I get clusters of pimples on my face that never go away.,Acne,Pharmacy
My foot hurts me a lot of playing football,Foot ache,PCP
I fell a stiffness in my elbows and shoulders,Joint pain,PCP
I have tried to make massage on my foot but they still pain me,Foot ache,PCP
I can't get a girlfriend because of my acne.,Acne,Pharmacy
i cant breathe,Cough,PCP
I feel a sharp pain in my ankle joint when I stand.,Joint pain,PCP
I was kicked in the head playing soccer last night.,Injury from sports,Emergencey
I toppled over while jumping to catch the ball.,Injury from sports,Emergencey
Even though I'm an adult my face keeps breaking out in pimples.,Acne,Pharmacy
My chest break out with red pimples and whiteheads.,Acne,Pharmacy
I've had this cough for two weeks.,Cough,PCP
"Annoyance starts suddenly, often after an injury or exercise.",Knee pain,PCP
I feel pain in my neck while I'm working.,Neck pain,PCP
I complain alot with skin allergy,Skin issue,Pharmacy
I have an internal pain I cannot describe,Internal pain,PCP
heavy breath with fatigue,Emotional pain,PCP
Chronic disease of hair follicles and sebaceous glands,Acne,Pharmacy
"i am feeling so dizzy, body is so fragile.",Body feels weak,PCP
My arm hurts when I stretch,Muscle pain,PCP
I feel discomfort throughout the body in general,Body feels weak,PCP
I feel cold although we are in summer.,Feeling cold,Pharmacy
i feel pain in my stomach,Stomach ache,PCP
My body feels weak and I tried to make it relax but it stills pain me,Body feels weak,PCP
His infected wound was beginning to rot.,Infected wound,PCP
I have a dull ache in my head,Head ache,PCP
i can't rotate my neck,Neck pain,PCP
I feel pain when i think of her,Emotional pain,PCP
I'm not feeling good I can't take my breath,Hard to breath,Emergencey
i feel dizzy after severe diarrhea,Feeling dizzy,PCP
My wound was infected when i was planting some flowers in my garden,Infected wound,PCP
i feel head ache,Head ache,PCP
I feel suicidal.,Emotional pain,PCP
I can't get a girlfriend because of my acne.,Acne,Pharmacy
I have a dry skin,Skin issue,Pharmacy
My chest hurts when I smoke,Internal pain,PCP
I feel dizzy after doing a muscular effort.,Feeling dizzy,PCP
i was playing football and injuried with joint pain.,Joint pain,PCP
I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband.,Emotional pain,PCP
I feel lightheaded when I stand up,Feeling dizzy,PCP
I walk every day but now I get short of breath after going only a short way.,Hard to breath,Emergencey
When I do hard exercises I feel great pain in my muscles.,Muscle pain,PCP
When I was young I had an injury from sports in my knee.,Injury from sports,Emergencey
I cut my hand a couple of days ago and although I didn't think I needed it stitches it hasn't closed up.,Open wound,Emergencey
I feel discomfort throughout the body in general,Body feels weak,PCP
I have a break in the skin between my thumb and index finger and it will not close.,Open wound,Emergencey
It feels like I can't take a deep breath,Hard to breath,Emergencey
I feel like I've always got something in my throat,Cough,PCP
Sterilizer for the eye,Blurry vision,PCP
"I hardly have enough stength to get up,",Body feels weak,PCP
I feel hurts in my heart,Heart hurts,Emergencey
I can't walk well I have an ache in my foot,Foot ache,PCP
"I hardly have enough stength to get up,",Body feels weak,PCP
i have severe dry cough,Cough,PCP
I feel a pain in my back,Back pain,PCP
My ankle joint throbs when I put pressure on my foot.,Joint pain,PCP
I cut my hand a couple of days ago and although I didn't think I needed it stitches it hasn't closed up.,Open wound,Emergencey
I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband.,Emotional pain,PCP
I'm not feeling good I can't take my breath,Hard to breath,Emergencey
"Annoyance starts suddenly, often after an injury or exercise.",Knee pain,PCP
I m feeling cold though the temperature is high,Feeling cold,Pharmacy
I can't move my head up and down.,Neck pain,PCP
I feel increased heart rate with prick,Heart hurts,Emergencey
I complain alot with skin allergy,Skin issue,Pharmacy
I have throbing in my shoulder,Shoulder pain,PCP
Chronic bone disease at the level of the doubles of the lower Estremidades,Knee pain,PCP
I have a dry throat,Cough,PCP
I've had this cough for two weeks.,Cough,PCP
"I have a blurry vision during my swimming training in the pool, why?",Blurry vision,PCP
i cant breathe,Cough,PCP
i feel head ache,Head ache,PCP
I feel pain in my heart when I wake up,Heart hurts,Emergencey
I was kicked in the head playing soccer last night.,Injury from sports,Emergencey
I have an internal pain I cannot describe,Internal pain,PCP
"i am feeling so dizzy, body is so fragile.",Body feels weak,PCP
Chronic disease of hair follicles and sebaceous glands,Acne,Pharmacy
When I was young I had an injury from sports in my knee.,Injury from sports,Emergencey
My back hurts so much I can't bend down to tie my shoelaces.,Back pain,PCP
I feel discomfort throughout the body in general,Body feels weak,PCP
"I have a foot ache in winter, or when it feels cold, why?",Foot ache,PCP
I have a split on my thumb that will not heal.,Open wound,Emergencey
"i feel hurt, lot of pain in my heart",Emotional pain,PCP
When i get up i see my skin vague,Skin issue,Pharmacy
When I tried to be warm and wear more clothes I found that I was still cold,Feeling cold,Pharmacy
My neck hurts me and i can't stand with this pain,Neck pain,PCP
My knee hurts when I play squash,Knee pain,PCP
I had a sharp pain in my stomach,Stomach ache,PCP
"After playing tennis,  I had a powerful sensation close to my neck",Shoulder pain,PCP
"My mind feels very sad, as if it hurts.  The way I feel in my head is awful and when I think about my break-up, I cry with sadness.",Emotional pain,PCP
Sharp pain and heavy breathing,Internal pain,PCP
I have a lot of mucus when I cough.,Cough,PCP
I have a scab on the back of my hand that just won't go away.,Skin issue,Pharmacy
When I get out of bed in the morning my body feels very weak.,Body feels weak,PCP
There is a sharp pain in my ear whenever I do this.,Ear ache,PCP
A terrible fall in hair,Hair falling out,Pharmacy
i can't breath because of  Cough,Cough,PCP
There is pain in my joints. I can not bear pain,Joint pain,PCP
I broke my ankle while doing rock climbing in the Carpathians.,Injury from sports,Emergencey
When i'm awake in the morning I feel strange and have vertigo,Feeling dizzy,PCP
What helps cuts heal faster?,Open wound,Emergencey
I've been over my cold for weeks but still cough every day.,Cough,PCP
I feel a great amount of pressure of my head.,Head ache,PCP
i have a strong shoulder pain,Shoulder pain,PCP
my temperature dropped and my body get synosed,Feeling cold,Pharmacy
I get chills and aches all over.,Feeling cold,Pharmacy
"my cbc report indicate 10 hb, i feel tired of little work.",Body feels weak,PCP
"i was injured during football match, i was diagnosed with Cruciate ligament",Injury from sports,Emergencey
Need to scratch my skin every minute,Skin issue,Pharmacy
I feel like there is something swollen and inflamed at the back of my knee.,Knee pain,PCP
I have an ear ache that won't go away.  I don't have a cold or headache or any other symptoms.  Just an earache.,Ear ache,PCP
i am having problems seeing things feel like a cloud on my eyes everything is blurry,Blurry vision,PCP
I have tried to make massage on my foot but they still pain me,Foot ache,PCP
I don't have problems taking in breath but out breath is so heavy,Hard to breath,Emergencey
I feel like I went to an acupuncture's practice and had 100 needles in my shoulder,Shoulder pain,PCP
I feel a lot of pain in the joints.,Joint pain,PCP
I feel pain in my right shoulder after the tennis match.,Injury from sports,Emergencey
I have a painful cramp in my feet,Foot ache,PCP
I hve cut my finger because of playing football and I  to apply pain relief cream but it does not help,Injury from sports,Emergencey
Sometimes I feel like a claw on my chest that leaves me breathless.,Hard to breath,Emergencey
i feel pain in my neck,Neck pain,PCP
I was playing soccer and I twisted my ankle,Injury from sports,Emergencey
I have tried to relief it but I can't,Body feels weak,PCP
I feel a clicking sensation in my knee each time I step.,Joint pain,PCP
I can't see the sign I have a blurry vision,Blurry vision,PCP
I had a collision while playing soccer.  My knee buckled and now it's unstable.,Injury from sports,Emergencey
I feel suicidal.,Emotional pain,PCP
"redness, swelling, and difficulty walking",Knee pain,PCP
i have pain but i can't specify place,Internal pain,PCP
It feels like someone stuck a knife into my shoulder,Shoulder pain,PCP
severe pain in the upper left side of chest and may have pain to back,Heart hurts,Emergencey
I have a neck pain when I sit in-front of my laptop.,Neck pain,PCP
i have disterbance in my emotion,Emotional pain,PCP
when i extend my leg there is pain in knee joint,Joint pain,PCP
my hair isn't well,Hair falling out,Pharmacy
I get a knee pain when I walk a lot,Knee pain,PCP
I cannot breathe because of this dull ache below my left shoulder.,Heart hurts,Emergencey
There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,Muscle pain,PCP
When I wake up I am feeling cold,Feeling cold,Pharmacy
I don't have problems taking in breath but out breath is so heavy,Hard to breath,Emergencey
When I think of my parents I feel pain,Emotional pain,PCP
I had a pain in my knee when I was swimming,Knee pain,PCP
I get clusters of whiteheads and blackheads on my back.,Acne,Pharmacy
My husband has a spot on his lip that he though was cold sore but now it has broken open and leaks fluid all day.,Infected wound,PCP
My ear hurts when I touch it.,Ear ache,PCP
i have a pain in my trapes,Muscle pain,PCP
The knee feels like it rusted and I suddenly cannot bend it anymore.,Knee pain,PCP
My shoulder hurts me so much,Shoulder pain,PCP
There is this pain that radiates from my chest up to my left arm.,Heart hurts,Emergencey
I have a cut on my foot that became infected from using the showers at the gym.,Infected wound,PCP
Every time I look to left I feel a sharp pain in my neck.,Neck pain,PCP
My knee is hurting so badly.,Joint pain,PCP
My neck hurts me and i can't stand with this pain,Neck pain,PCP
"My stomach aches when I eat hot food, why?",Stomach ache,PCP
I have internal pain whenever I come down with a cold.,Internal pain,PCP
"My left ear is ok, but the right one feels like it's being stabbed with a nail.",Ear ache,PCP
i have a great pain in my thorax from heart injury,Heart hurts,Emergencey
Surgical wound infections,Infected wound,PCP
My head hurts whenever I try to do something.,Head ache,PCP
my ear hurts me badly,Ear ache,PCP
I have a cut that has become red and oozes puss.,Infected wound,PCP
"My stomach aches after I drink any soda drink, why?",Stomach ache,PCP
"When I move my shoulder, it's like lightning is being sent through my shoulder",Shoulder pain,PCP
"When I go to stand, my head starts swirling",Feeling dizzy,PCP
i feel pain in my foot,Foot ache,PCP
My ear ache when I'm listening to music.,Ear ache,PCP
My ear is ringing.,Ear ache,PCP
My heart is pumping fast and I'm having a hard time to breath.,Hard to breath,Emergencey
After eating  I have burning sensation inside of me.,Stomach ache,PCP
After a breakup  I feel something strange in me.,Emotional pain,PCP
Since I went into the forest  I have pain on my ear,Ear ache,PCP
I have a scab on the back of my hand that just won't go away.,Skin issue,Pharmacy
My acne is really embarassing. It's so read.,Acne,Pharmacy
"I feel chilly, like an ice cube.  My sister said that she needs several blankets to cover her so that she is warm enough.",Feeling cold,Pharmacy
I cut myself and I'm bleeding.,Open wound,Emergencey
"My husband left me for another woman, my heart hurts so badly to the point I can't eat or sleep.",Heart hurts,Emergencey
When i'm driving my eyes see in double,Blurry vision,PCP
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy,PCP
It feels like my heart is going to leap out of my body. It hurts.,Heart hurts,Emergencey
I cannot get warm no matter how much I wrap up or how high I put the heating on,Feeling cold,Pharmacy
"I feel chilly, like an ice cube.  My sister said that she needs several blankets to cover her so that she is warm enough.",Feeling cold,Pharmacy
I have a head pain every single day.,Internal pain,PCP
I have a sharp pain in my lower stomach.,Stomach ache,PCP
I had a cut that was stitched together but it is not healing.  It is oozing green puss and burns.,Infected wound,PCP
When I stand up too quickly I feel as though I'm going to faint.,Feeling dizzy,PCP
is my cut infected or just healing?,Infected wound,PCP
In the morning my respiration is loud.,Hard to breath,Emergencey
My skin is itchy and inflamed,Skin issue,Pharmacy
"My husband left me for another woman, my heart hurts so badly to the point I can't eat or sleep.",Heart hurts,Emergencey
"My hair is coming out in chunks, especially when I wash it",Hair falling out,Pharmacy
When I eat too much sugar my body gets weak and dizzy.,Body feels weak,PCP
My knee feels weak and it gave way the other day at the top of the stairs.  Luckily there was a rail to hold on to.,Knee pain,PCP
My head hurts in the back and the pain lasts all day.,Head ache,PCP
I have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when I urinate.,Internal pain,PCP
My grandson cut his foot on a seashell in the ocean and now the foot is turning gray and is puffy.,Infected wound,PCP
My back got injured while i was lifting at the gym,Injury from sports,Emergencey
My face break out badly every month around my cycle.,Acne,Pharmacy
I feel pain in my neck while I'm working.,Neck pain,PCP
I've had this cough for two weeks.,Cough,PCP
I feel cold although we are in summer.,Feeling cold,Pharmacy
I think I overdid it when I carried all that lumber from the yard. My lower back is killing me.,Back pain,PCP
My back hurts me and i can't bend it or walk,Back pain,PCP
I feel heart pain when I walk a lot,Heart hurts,Emergencey
I feel shoulder pain at intervals of time.,Shoulder pain,PCP
"I get tired too fast, I can barely put on my clothes in the morning.",Body feels weak,PCP
I can't walk because i have a great foot ache,Foot ache,PCP
I noticed an important decrease in my vision when I try to look at things up close.,Blurry vision,PCP
I feel pain inside I do not know what it is,Internal pain,PCP
My husband has a spot on his lip that he though was cold sore but now it has broken open and leaks fluid all day.,Infected wound,PCP
I think I overdid it when I carried all that lumber from the yard. My lower back is killing me.,Back pain,PCP
My ear hurts when I touch it.,Ear ache,PCP
"I feel pain in my legs muscles after I ran yesterday, I took some pain killers but it doesn't help.",Muscle pain,PCP
When I tried to take care if my hair I found that it is falling out,Hair falling out,Pharmacy
"I fell through a window while I was cleaning it and I have a shard of glass stuck in my left eye, I think it is pretty serious, please help!",Open wound,Emergencey
I have a cut on my foot that became infected from using the showers at the gym.,Infected wound,PCP
My lungs feel heavy like they are filled with mucus,Cough,PCP
I got acne when I ate chili,Acne,Pharmacy
